frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
441,7.35,1281,724,22,60,1280,720
442,7.367,1283,726,22,60,1280,720
443,7.383,1283,726,22,60,1280,720
444,7.4,1283,726,22,60,1280,720
445,7.417,1284,726,22,60,1280,720
446,7.433,1284,725,22,60,1280,720
447,7.45,1283,724,22,60,1280,720
448,7.467,1283,723,22,60,1280,720
449,7.483,1283,723,22,60,1280,720
450,7.5,1284,722,22,60,1280,720
451,7.517,1283,721,22,60,1280,720
452,7.533,1284,720,22,60,1280,720
453,7.55,1284,719,22,60,1280,720
454,7.567,1285,718,22,60,1280,720
455,7.583,1287,716,22,60,1280,720
456,7.6,1287,715,23,61,1280,720
457,7.617,1288,714,23,61,1280,720
458,7.633,1288,714,23,61,1280,720
459,7.65,1288,714,23,61,1280,720
460,7.667,1287,714,23,61,1280,720
461,7.683,1284,714,23,61,1280,720
462,7.7,1284,714,23,61,1280,720
463,7.717,1283,715,23,61,1280,720
464,7.733,1283,716,22,60,1280,720
465,7.75,1283,717,22,60,1280,720
466,7.767,1283,719,22,60,1280,720
467,7.783,1283,720,22,60,1280,720
468,7.8,1283,721,22,60,1280,720
469,7.817,1283,721,22,60,1280,720
470,7.833,1282,722,22,60,1280,720
471,7.85,1282,722,22,60,1280,720
472,7.867,1281,722,22,60,1280,720
473,7.883,1281,722,22,60,1280,720
474,7.9,1280,722,22,60,1280,720
475,7.917,1278,722,22,60,1280,720
476,7.933,1277,722,22,60,1280,720
477,7.95,1277,721,22,59,1280,720
478,7.967,1278,721,22,59,1280,720
479,7.983,1280,721,22,59,1280,720
480,8.0,1281,721,22,59,1280,720
481,8.017,1283,721,22,59,1280,720
482,8.033,1287,721,22,59,1280,720
483,8.05,1291,722,22,60,1280,720
484,8.067,1295,723,22,60,1280,720
485,8.083,1297,723,22,60,1280,720
486,8.1,1299,722,22,60,1280,720
487,8.117,1301,721,22,60,1280,720
488,8.133,1301,720,22,60,1280,720
489,8.15,1301,719,22,60,1280,720
490,8.167,1298,717,22,60,1280,720
491,8.183,1294,716,22,60,1280,720
492,8.2,1292,715,22,60,1280,720
493,8.217,1291,715,22,60,1280,720
494,8.233,1289,715,22,60,1280,720
495,8.25,1289,714,22,60,1280,720
496,8.267,1289,713,22,60,1280,720
497,8.283,1289,714,22,60,1280,720
498,8.3,1288,714,22,60,1280,720
499,8.317,1287,714,22,60,1280,720
500,8.333,1285,714,22,60,1280,720
501,8.35,1281,714,22,60,1280,720
502,8.367,1278,715,22,60,1280,720
503,8.383,1276,715,22,60,1280,720
504,8.4,1273,715,22,60,1280,720
505,8.417,1270,716,22,60,1280,720
506,8.433,1268,715,22,60,1280,720
507,8.45,1266,716,22,60,1280,720
508,8.467,1267,717,22,60,1280,720
509,8.483,1269,718,22,60,1280,720
510,8.5,1272,719,22,60,1280,720
511,8.517,1274,720,22,60,1280,720
512,8.533,1275,720,22,60,1280,720
513,8.55,1277,720,22,60,1280,720
514,8.567,1279,721,22,60,1280,720
515,8.583,1281,722,22,60,1280,720
516,8.6,1282,722,22,60,1280,720
517,8.617,1282,723,22,60,1280,720
518,8.633,1281,722,22,60,1280,720
519,8.65,1280,722,22,60,1280,720
520,8.667,1278,722,22,60,1280,720
521,8.683,1277,722,22,60,1280,720
522,8.7,1277,722,22,60,1280,720
523,8.717,1277,721,22,60,1280,720
524,8.733,1277,721,22,60,1280,720
525,8.75,1277,721,22,60,1280,720
526,8.767,1278,721,22,60,1280,720
527,8.783,1279,722,22,60,1280,720
528,8.8,1280,722,22,60,1280,720
529,8.817,1281,722,22,60,1280,720
530,8.833,1281,723,22,60,1280,720
531,8.85,1281,723,22,60,1280,720
532,8.867,1282,723,22,60,1280,720
533,8.883,1283,723,22,60,1280,720
534,8.9,1283,723,22,60,1280,720
535,8.917,1282,723,22,60,1280,720
536,8.933,1281,723,22,60,1280,720
537,8.95,1280,723,22,60,1280,720
538,8.967,1281,724,22,60,1280,720
539,8.983,1281,725,22,60,1280,720
540,9.0,1282,728,22,60,1280,720
541,9.017,1283,731,22,60,1280,720
542,9.033,1284,734,22,60,1280,720
543,9.05,1284,736,22,60,1280,720
544,9.067,1284,738,22,60,1280,720
545,9.083,1285,740,22,60,1280,720
546,9.1,1287,743,22,60,1280,720
547,9.117,1288,744,22,60,1280,720
548,9.133,1290,745,22,60,1280,720
549,9.15,1291,746,22,60,1280,720
550,9.167,1293,743,22,60,1280,720
551,9.183,1294,738,22,60,1280,720
552,9.2,1294,733,22,60,1280,720
553,9.217,1293,729,22,60,1280,720
554,9.233,1293,724,22,60,1280,720
555,9.25,1293,721,22,60,1280,720
556,9.267,1292,717,22,60,1280,720
557,9.283,1292,712,22,60,1280,720
558,9.3,1290,706,22,60,1280,720
559,9.317,1288,702,22,60,1280,720
560,9.333,1284,699,22,60,1280,720
561,9.35,1280,694,22,60,1280,720
562,9.367,1276,692,22,60,1280,720
563,9.383,1273,691,22,60,1280,720
564,9.4,1271,691,22,60,1280,720
565,9.417,1269,692,22,60,1280,720
566,9.433,1267,693,22,60,1280,720
567,9.45,1267,694,22,60,1280,720
568,9.467,1266,697,22,60,1280,720
569,9.483,1266,697,22,60,1280,720
570,9.5,1266,698,22,60,1280,720
571,9.517,1267,699,22,60,1280,720
572,9.533,1269,700,22,60,1280,720
573,9.55,1272,699,22,60,1280,720
574,9.567,1275,699,22,60,1280,720
575,9.583,1277,699,22,60,1280,720
576,9.6,1280,699,22,60,1280,720
577,9.617,1281,698,22,60,1280,720
578,9.633,1282,698,23,61,1280,720
579,9.65,1281,697,22,60,1280,720
580,9.667,1281,696,23,61,1280,720
581,9.683,1280,696,23,61,1280,720
582,9.7,1278,697,23,61,1280,720
583,9.717,1278,697,23,61,1280,720
584,9.733,1278,698,22,60,1280,720
585,9.75,1279,698,22,60,1280,720
586,9.767,1280,698,22,60,1280,720
587,9.783,1280,699,22,60,1280,720
588,9.8,1280,699,22,60,1280,720
589,9.817,1280,699,22,60,1280,720
590,9.833,1281,699,22,60,1280,720
591,9.85,1281,699,22,60,1280,720
592,9.867,1282,700,22,60,1280,720
593,9.883,1282,700,22,60,1280,720
594,9.9,1283,700,22,60,1280,720
595,9.917,1283,700,22,60,1280,720
596,9.933,1284,700,22,60,1280,720
597,9.95,1285,701,22,60,1280,720
598,9.967,1287,701,22,60,1280,720
599,9.983,1288,702,22,60,1280,720
600,10.0,1288,702,22,60,1280,720
601,10.017,1287,702,22,60,1280,720
602,10.033,1287,702,22,60,1280,720
603,10.05,1286,702,22,60,1280,720
604,10.067,1287,702,22,60,1280,720
605,10.083,1287,703,22,60,1280,720
606,10.1,1287,703,22,60,1280,720
607,10.117,1288,704,22,60,1280,720
608,10.133,1288,704,22,60,1280,720
609,10.15,1288,704,22,60,1280,720
610,10.167,1289,705,22,60,1280,720
611,10.183,1290,705,22,60,1280,720
612,10.2,1293,705,22,60,1280,720
613,10.217,1295,705,22,60,1280,720
614,10.233,1295,705,22,60,1280,720
615,10.25,1294,704,22,60,1280,720
616,10.267,1293,704,22,60,1280,720
617,10.283,1290,702,22,60,1280,720
618,10.3,1287,701,22,60,1280,720
619,10.317,1285,699,22,60,1280,720
620,10.333,1282,697,22,60,1280,720
621,10.35,1279,695,23,61,1280,720
622,10.367,1275,693,22,60,1280,720
623,10.383,1271,692,22,60,1280,720
624,10.4,1268,690,22,60,1280,720
625,10.417,1265,689,22,60,1280,720
626,10.433,1261,689,22,60,1280,720
627,10.45,1258,688,22,60,1280,720
628,10.467,1257,688,22,60,1280,720
629,10.483,1255,688,23,61,1280,720
630,10.5,1255,687,22,60,1280,720
631,10.517,1257,687,22,60,1280,720
632,10.533,1258,687,22,60,1280,720
633,10.55,1262,687,22,60,1280,720
634,10.567,1265,687,22,60,1280,720
635,10.583,1268,685,22,60,1280,720
636,10.6,1271,684,22,60,1280,720
637,10.617,1272,683,22,60,1280,720
638,10.633,1275,681,22,60,1280,720
639,10.65,1276,679,22,60,1280,720
640,10.667,1276,679,22,60,1280,720
641,10.683,1276,678,22,60,1280,720
642,10.7,1275,678,22,60,1280,720
643,10.717,1275,676,22,60,1280,720
644,10.733,1275,676,22,60,1280,720
645,10.75,1273,676,22,60,1280,720
646,10.767,1272,676,22,60,1280,720
647,10.783,1272,677,22,60,1280,720
648,10.8,1272,678,22,60,1280,720
649,10.817,1273,679,22,60,1280,720
